En,Ru
you,ты
or,или
to,к
the,тот
a,а
and,и
that,что
it,это
of,из
me,мне
what,что
is,является
in,в
this,этот
know,знать
I'm,Я
for,для
no,нет
have,иметь
my,мой
don't,не
just,только
not,нет
do,делать
be,быть
on,на
your,твой
was,был
we,мы
it's,его
with,с
so,так
but,но
all,все
well,хорошо
are,являются
he,он
oh,ой
about,о
right,верно
you're,ты
get,получать
here,здесь
out,вне
going,идущий
like,нравиться
yeah,ага
if,если
her,ее
she,она
can,может
up,вверх
want,хотеть
think,думать
that's,это
now,сейчас
go,идти
him,ему
at,в
how,как
got,получил
there,там
one,один
did,делал
why,почему
see,видеть
come,приходить
good,хороший
they,они
really,Действительно
as,как
would,бы
look,смотреть
when,когда
time,время
will,воля
okay,хорошо
back,назад
can't,не мочь
mean,иметь в виду
tell,рассказывать
I'll,Больной
from,от
hey,привет
were,были
he's,он
could,мог
didn't,не сделал
yes,да
his,его
been,был
or,или
something,что-нибудь
who,ВОЗ
because,потому что
some,некоторый
had,имел
then,затем
say,сказать
ok,хорошо
take,брать
an,а
way,способ
us,нас
little,маленький
make,делать
need,нуждаться
gonna,собираюсь
never,никогда
we're,были
too,слишком
love,любовь
she's,она
I've,у меня есть
sure,конечно
them,их
more,более
over,над
sorry,извини
where,где
what's,что такое
let,позволять
thing,вещь
am,являюсь
maybe,может быть
down,вниз
man,мужчина
has,имеет
uh,Эм-м-м
very,очень
by,к
there's,есть
should,должен
anything,что-либо
said,сказал
much,много
any,любой
life,жизнь
even,даже
off,выключенный
please,пожалуйста
doing,делает
thank,благодарить
give,давать
only,только
thought,мысль
help,помощь
two,два
talk,разговаривать
people,люди
god,бог
still,все еще
wait,ждать
into,в
find,находить
nothing,ничего
things,вещи
let's,давайте
doesn't,не делает
call,вызов
told,сказал
great,большой
before,до
better,лучше
ever,всегда
night,ночь
than,чем
away,прочь
first,первый
believe,полагать
other,другой
feel,чувствовать
everything,все
work,работа
you've,у тебя есть
fine,отлично
home,дом
after,после
last,последний
these,эти
day,день
keep,держать
does,делает
put,помещать
around,вокруг
stop,останавливаться
they're,они
I'd,Идентификатор
guy,парень
long,длинный
isn't,не
always,всегда
listen,слушать
wanted,в розыске
Mr .,Мистер .
guys,ребята
huh,хм
those,те
big,большой
lot,много
happened,случилось
thanks,Спасибо
won't,не будет
trying,пытающийся
kind,добрый
wrong,неправильный
through,через
talking,говорить
made,сделал
new,новый
being,существование
guess,предполагать
hi,привет
care,забота
bad,плохой
mom,мама
remember,помнить
getting,получающий
we'll,хорошо
together,вместе
dad,папа
leave,оставлять
mother,мать
place,место
understand,понимать
wouldn't,не стал бы
actually,на самом деле
hear,слышать
baby,малыш
nice,хороший
father,отец
else,еще
stay,оставаться
done,сделанный
wasn't,не было
their,их
course,курс
might,мощь
mind,разум
every,каждый
enough,достаточно
try,пытаться
hell,ад
came,пришел
someone,кто-то
you'll,ты будешь
own,собственный
family,семья
whole,весь
another,другой
house or House,дом или дом
Jack or jack,Джек или Джек
yourself,сам
idea,идея
ask,просить
best,лучший
must,должен
coming,приходящий
old,старый
looking,смотрящий
woman,женщина
hello,привет
which,который
years,годы
room,комната
money,деньги
left,левый
knew,знал
tonight,сегодня вечером
real,настоящий
son,сын
hope,надеяться
name,имя
same,такой же
went,шел
um,хм
hmm,хм
happy,счастливый
pretty,симпатичный
saw,пила
girl,девочка
sir,сэр
show,показывать
friend,друг
already,уже
saying,говоря
may or May,может или май
next,следующий
three,три
job,работа
problem,проблема
minute,минута
found,найденный
world,мир
thinking,мышление
haven't,нет
heard,слышал
honey,мед
matter,иметь значение
myself,сам
couldn't,не мог
exactly,точно
having,имея
ah,ах
probably,вероятно
happen,случаться
we've,у нас есть
hurt,повредить
boy,мальчик
both,оба
while,пока
dead,мертвый
gotta,должен
since,с
excuse,извинение
start,начинать
kill,убийство
hard,жесткий
you'd,ты бы
today,сегодня
car,машина
ready,готовый
until,до
without,без
whatever,что бы ни
wants,хочет
hold,держать
wanna,хочу
yet,еще
seen,видимый
deal,иметь дело
took,взял
once,один раз
gone,ушел
called,называется
morning,утро
supposed,предполагаемый
friends,друзья
head,голова
stuff,вещи
most,большинство
used,использовал
worry,волноваться
second,второй
part,часть
live,жить
truth,правда
school,школа
face,лицо
forget,забывать
TRUE,истинный
business,бизнес
each,каждый
cause,причина
soon,скоро
knows,знает
few,немного
telling,рассказывать
wife,жена
who's,кто
use,использовать
chance,шанс
run,бегать
move,двигаться
anyone,любой
person,человек
bye,пока
J .,Дж.
somebody,кто-нибудь
Dr . or dr .,Доктор. или Др.
heart,сердце
such,такой
miss,скучать
married,женатый
point,точка
later,позже
making,изготовление
meet,встретиться
anyway,в любом случае
many,много
phone,телефон
reason,причина
damn,проклятие
lost,потерянный
looks,выглядит
bring,приносить
case,случай
turn,повернуть
wish,желание
tomorrow,завтра
kids,дети
check,проверять
change,изменять
end,конец
late,поздно
anymore,больше
five,пять
least,наименее
town,город
aren't,нет
ha,ха
working,работающий
year,год
makes,делает
taking,принимая
means,означает
brother,брат
play,играть
hate,ненавидеть
ago,назад
says,говорит
beautiful,красивый
gave,отдал
fact,факт
crazy,сумасшедший
party,вечеринка
sit,сидеть
open,открыть
afraid,испуганный
between,между
important,важный
rest,отдых
fun,веселье
kid,ребенок
word,слово
watch,смотреть
glad,радостный
everyone,каждый
days,дни
sister,сестра
minutes,минуты
everybody,все
bit,кусочек
couple,пара
whoa,эй
either,или
feeling,чувство
daughter,дочь
wow,ух ты
gets,получает
asked,спросил
under,под
break,перерыв
promise,обещать
door,дверь
set,набор
close,закрывать
hand,рука
easy,легкий
question,вопрос
doctor,врач
tried,пытался
far,далеко
walk,ходить
needs,потребности
trouble,беда
mine,мой
though,хотя
times,раз
different,другой
killed,убит
hospital,больница
anybody,кто-нибудь
Sam or SAM,Сэм или СЭМ
alright,хорошо
wedding,свадьба
shut,закрыть
able,способный
die,умереть
perfect,идеальный
police,полиция
stand,стоять
comes,приходит
hit,ударять
story,история
ya,да
mm,мм
waiting,ожидающий
dinner,ужин
against,против
funny,забавный
husband,муж
almost,почти
stupid,глупый
pay,платить
answer,отвечать
four,четыре
office,офис
cool,прохладный
eyes,глаза
news,новости
child,ребенок
shouldn't,не должен
half,половина
side,сторона
yours,твой
moment,момент
sleep,спать
read,читать
where's,где
started,началось
young,молодой
men,мужчины
sonny or Sonny,сынок или Сонни
lucky,удачливый
pick,выбирать
sometimes,иногда
em,Эм
bed,кровать
also,также
date,дата
plan,план
hours,часы
lose,терять
fire,огонь
free,бесплатно
hands,руки
serious,серьезный
Leo,Лео
shit,дерьмо
behind,позади
inside,внутри
high,высокий
ahead,предстоящий
week,неделя
wonderful,замечательный
fight,драться
past,прошлое
cut,резать
quite,довольно
number,число
he'll,ад
sick,больной
it'll,это будет
game,игра
eat,есть
nobody,никто
goes,идет
death,смерть
along,вдоль
save,сохранять
seems,кажется
finally,окончательно
lives,жизни
worried,волновался
upset,расстройство
Theresa,Тереза
Carly,Карли
Ethan,Итан
met,встретился
book,книга
brought,принес
seem,казаться
sort,сортировать
safe,безопасный
living,жизнь
children,дети
weren't,не были
leaving,уход
front,передний
shot,выстрелил
loved,любил
asking,спрашивать
running,бег
clear,прозрачный
figure,фигура
hot,горячий
felt,чувствовал себя
six,шесть
parents,родители
drink,напиток
absolutely,абсолютно
how's,как дела
daddy,папочка
sweet,сладкий
alive,живой
Paul,Пол
sense,смысл
meant,имел в виду
happens,случается
David,Дэйвид
special,особенный
bet,ставка
blood,кровь
ain't,нет
kidding,шутя
lie,ложь
full,полный
meeting,встреча
dear,дорогой
coffee,кофе
seeing,видя
sound,звук
fault,вина
water,вода
fuck,ебать
ten,десять
women,женщины
welcome,добро пожаловать
buy,купить
months,месяцы
hour,час
speak,говорить
lady,леди
Jen,Джен
thinks,думает
Christmas,Рождество
body,тело
order,заказ
outside,снаружи
hang,вешать
possible,возможный
worse,худший
company,компания
mistake,ошибка
ooh,ох
handle,ручка
spend,тратить
C .,С.
totally,полностью
giving,предоставление
control,контроль
here's,вот
marriage,свадьба
realize,понимать
D .,Д.
power,власть
president,президент
unless,пока не
sex,секс
girls,девушки
send,отправлять
needed,нужный
taken,взятый
died,умер
scared,испуганный
picture,картина
talked,говорил
Jake,Джейк
ass,жопа
hundred,сто
changed,измененный
completely,полностью
explain,объяснять
playing,играя
certainly,конечно
sign,знак
boys,мальчики
relationship,отношение
Michael,Майкл
loves,любит
fucking,чертовски
hair,волосы
lying,врущий
choice,выбор
anywhere,где угодно
secret,секрет
future,будущее
weird,странный
luck,удача
she'll,оболочка
Max or max .,Макс или Макс.
Luis,Луис
turned,повернулся
known,известный
touch,трогать
kiss,целовать
Crane or crane,Кран или кран
questions,вопросы
obviously,очевидно
wonder,удивляться
pain,боль
calling,звоню
somewhere,где-то
throw,бросать
straight,прямой
Grace or grace,Грейс или благодать
cold,холодный
white or White,белый или белый
fast,быстрый
Natalie,Натали
words,слова
food,еда
none,никто
drive,водить машину
feelings,чувства
they'll,они будут
worked,работал
marry,жениться
light,свет
test,тест
drop,уронить
cannot,не могу
Frank,Откровенный
sent,отправил
city,город
dream,мечтать
protect,защищать
twenty,двадцать
class,сорт
Lucy,Люси
surprise,сюрприз
its,его
sweetheart,дорогой
forever,навсегда
poor,бедный
looked,посмотрел
mad,безумный
except,кроме
gun,пистолет
y'know,ты знаешь
dance,танцевать
takes,берет
appreciate,ценить
especially,особенно
situation,ситуация
besides,кроме
weeks,недели
pull,тянуть
himself,сам
hasn't,не имеет
act,действовать
worth,ценность
Sheridan,Шеридан
amazing,удивительный
top,вершина
given,данный
expect,ожидать
Ben,Бен
rather,скорее
Julian,Джулиан
involved,вовлеченный
swear,ругаться
piece,кусок
busy,занятый
law,закон
decided,решенный
black or Black,черный или черный
Joey,Джоуи
happening,происходит
movie,фильм
we'd,обвенчались
catch,ловить
Antonio,Антонио
country,страна
less,меньше
perhaps,возможно
step,шаг
fall,падать
watching,наблюдаю
kept,хранится
darling,милый
dog,собака
Ms .,РС .
win,победить
air,воздух
honor,честь
personal,личный
moving,движущийся
till,до
admit,признавать
problems,проблемы
murder,убийство
strong,сильный
he'd,он бы
evil,зло
definitely,определенно
feels,чувствует
information,информация
honest,честный
eye,глаз
broke,сломанный
missed,пропущенный
longer,дольше
dollars,доллары
tired,усталый
George,Джордж
evening,вечер
human,человек
starting,начиная
Ross,Росс
red,красный
entire,весь
trip,путешествие
Brooke,Брук
E .,Э.
club,клуб
Niles,Найлз
suppose,предполагать
calm,спокойствие
imagine,представлять себе
Todd,Тодд
fair,справедливый
caught,пойманный
B .,Б.
blame,обвинять
street,улица
sitting,сидящий
favor,услуга
apartment,квартира
court,суд
terrible,ужасный
clean,чистый
Tony or tony,Тони или Тони
learn,учиться
Alison,Элисон
Rick,Рик
works,работает
Rose or rose,Роза или роза
Frasier,Фрейзер
relax,расслабляться
York,Йорк
million,миллион
charity,благотворительность
accident,несчастный случай
wake,будить
prove,доказывать
Danny,Дэнни
smart,умный
message,сообщение
missing,отсутствующий
forgot,забыл
small,маленький
interested,заинтересованный
table,стол
nbsp,nbsp
become,становиться
Craig,Крейг
mouth,рот
pregnant,беременная
middle,середина
Billy or billy,Билли или Билли
ring,кольцо
careful,осторожный
shall,должен
dude,чувак
team,команда
ride,поездка
figured,понял
wear,носить
shoot,стрелять
stick,палка
Ray or ray,Рэй или Рэй
follow,следовать
Bo,Бо
angry,злой
instead,вместо
buddy,приятель
write,писать
stopped,остановился
early,рано
Angel or angel,Ангел или ангел
Nick or nick,Ник или Ник
ran,побежал
war,война
standing,стоя
forgive,простить
jail,тюрьма
wearing,утомительный
Miguel,Мигель
ladies,дамы
kinda,как бы
lunch,обед
Cristian,Кристиан
eight,восемь
Greenlee,Гринли
gotten,получил
hoping,надеясь
Phoebe,Фиби
thousand,тысяча
ridge,хребет
music,музыка
Luke,Люк
paper,бумага
tough,жесткий
tape,лента
Emily,Эмили
state,состояние
count,считать
college,колледж
boyfriend,парень
proud,гордый
agree,соглашаться
birthday,день рождения
bill,счет
seven,Семь
they've,у них есть
Timmy,Тимми
history,история
share,делиться
offer,предложение
hurry,торопиться
ow,ой
feet,ноги
wondering,интересный
simple,простой
decision,решение
building,здание
ones,те
finish,заканчивать
voice,голос
herself,себя
Chris,Крис
would've,бы
list,список
Kay,Кей
mess,беспорядок
deserve,заслуживать
evidence,доказательство
cute,милый
Jerry,Джерри
dress,одеваться
Richard,Ричард
interesting,интересный
Jesus,Иисус
James,Джеймс
hotel,отель
enjoy,наслаждаться
Ryan,Райан
Lindsay,Линдси
quiet,тихий
concerned,обеспокоенный
road,дорога
Eve or eve,Ева или Ева
staying,пребывание
short,короткий
M .,М.
beat,бить
sweetie,милый
mention,упомянуть
clothes,одежда
finished,законченный
fell,упал
neither,ни один
mmm,М-м-м
fix,исправить
Victor or victor,Виктор или победитель
respect,уважать
spent,потраченный
prison,тюрьма
attention,внимание
holding,проведение
calls,звонки
near,около
surprised,удивлен
